date,return
2010-01-01,0.0035
2010-02-01,0.0035
2010-03-01,0.004
2010-04-01,0.0044
2010-05-01,0.0037
2010-06-01,0.0032
2010-07-01,0.0029
2010-08-01,0.0026
2010-09-01,0.0026
2010-10-01,0.0023
2010-11-01,0.0025
2010-12-01,0.0029
2011-01-01,0.0027
2011-02-01,0.0029
2011-03-01,0.0026
2011-04-01,0.0025
2011-05-01,0.0019
2011-06-01,0.0018
2011-07-01,0.0019
2011-08-01,0.0011
2011-09-01,0.001
2011-10-01,0.0011
2011-11-01,0.0011
2011-12-01,0.0012
2012-01-01,0.0012
2012-02-01,0.0016
2012-03-01,0.0019
2012-04-01,0.0018
2012-05-01,0.0019
2012-06-01,0.0019
2012-07-01,0.0019
2012-08-01,0.0018
2012-09-01,0.0018
2012-10-01,0.0018
2012-11-01,0.0018
2012-12-01,0.0016
2013-01-01,0.0015
2013-02-01,0.0016
2013-03-01,0.0015
2013-04-01,0.0012
2013-05-01,0.0012
2013-06-01,0.0014
2013-07-01,0.0012
2013-08-01,0.0013
2013-09-01,0.0012
2013-10-01,0.0012
2013-11-01,0.0012
2013-12-01,0.0013
2014-01-01,0.0012
2014-02-01,0.0012
2014-03-01,0.0013
2014-04-01,0.0011
2014-05-01,0.001
2014-06-01,0.001
2014-07-01,0.0011
2014-08-01,0.0011
2014-09-01,0.0011
2014-10-01,0.001
2014-11-01,0.0013
2014-12-01,0.0021
2015-01-01,0.002
2015-02-01,0.0022
2015-03-01,0.0025
2015-04-01,0.0023
2015-05-01,0.0024
2015-06-01,0.0028
2015-07-01,0.003
2015-08-01,0.0038
2015-09-01,0.0037
2015-10-01,0.0026
2015-11-01,0.0048
2015-12-01,0.0065
2016-01-01,0.0054
2016-02-01,0.0053
2016-03-01,0.0066
2016-04-01,0.0056
2016-05-01,0.0059
2016-06-01,0.0055
2016-07-01,0.0051
2016-08-01,0.0057
2016-09-01,0.0059
2016-10-01,0.0066
2016-11-01,0.0074
2016-12-01,0.0087
